date,venue,venue_code,race_number,scheduled_start_time,race_id,title,formation,ticket_count,combined_odds,estimated_hit_rate,selected_tickets_text,hit,actual_ticket,actual_payout_units,stake_units,return_units,profit_units,dutch_profit_units,scenario_type,risk_level,asof_label,odds_policy_status
2026-01-06,久留米,83,6,,20260106-83-06,????3??,6-1-3 / 6-4-1 / 6-1-4 / 6-3-1 / 3-1-6 / 6-2-1 / 6-4-3 / 3-6-1 / 6-4-2 / 6-2-4 / 3-4-1,11,3.0644346248461916,0.264566172898,6-1-3|6-4-1|6-1-4|6-3-1|3-1-6|6-2-1|6-4-3|3-6-1|6-4-2|6-2-4|3-4-1,False,1-6-2,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-06,久留米,83,7,,20260106-83-07,????3??,2-4-1 / 1-4-2 / 4-6-5 / 4-6-2 / 4-2-7 / 4-6-1 / 4-1-7 / 4-5-3 / 4-2-3 / 4-1-3 / 4-5-6 / 4-1-6,12,4.850386341727218,0.199453468884,2-4-1|1-4-2|4-6-5|4-6-2|4-2-7|4-6-1|4-1-7|4-5-3|4-2-3|4-1-3|4-5-6|4-1-6,True,4-5-6,35.3,12.0,35.3,23.299999999999997,3.8503863417272184,ev_cap100_odds10_100__n12,pred_roi=0.020,final,final_odds_research
2026-01-07,岐阜,43,5,,20260107-43-05,????3??,7-4-2 / 4-5-7 / 4-3-6 / 4-7-2 / 1-4-5 / 4-6-1 / 7-6-4 / 7-6-1 / 4-6-7 / 1-6-4,10,11.073533644382703,0.084725555363,7-4-2|4-5-7|4-3-6|4-7-2|1-4-5|4-6-1|7-6-4|7-6-1|4-6-7|1-6-4,False,1-7-3,0.0,10.0,0.0,-10.0,-1.0,mid_value_odds10_150__n10,pred_roi=0.000,final,final_odds_research
2026-01-07,岐阜,43,6,,20260107-43-06,????3??,7-5-3 / 5-3-7 / 5-7-3 / 5-1-4 / 5-4-1 / 5-4-7,6,2.503650890977283,0.19537716430299998,7-5-3|5-3-7|5-7-3|5-1-4|5-4-1|5-4-7,False,5-2-7,0.0,6.0,0.0,-6.0,-1.0,hit30,pred_roi=0.000,final,final_odds_research
2026-01-07,久留米,83,6,,20260107-83-06,????3??,3-7-6 / 7-6-3 / 3-1-6 / 3-1-7 / 7-3-1 / 7-3-6 / 1-6-3 / 3-7-1 / 3-5-6 / 6-3-7,10,2.99169581522479,0.274181654415,3-7-6|7-6-3|3-1-6|3-1-7|7-3-1|7-3-6|1-6-3|3-7-1|3-5-6|6-3-7,False,3-6-1,0.0,10.0,0.0,-10.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|9|11,pred_roi=0.029,final,final_odds_research
2026-01-07,久留米,83,7,,20260107-83-07,????3??,7-4-6 / 7-3-6 / 7-2-3 / 7-2-4 / 7-3-2 / 7-3-4 / 7-4-2 / 7-4-3 / 7-2-6 / 7-6-4 / 7-6-2 / 7-6-3,12,0.9099647952208265,0.5722895874899999,7-4-6|7-3-6|7-2-3|7-2-4|7-3-2|7-3-4|7-4-2|7-4-3|7-2-6|7-6-4|7-6-2|7-6-3,True,7-4-3,7.2,12.0,7.2,-4.8,-0.09003520477917348,tier_popularity_blend8_sqrt_ev_odds10_inf__n12,pred_roi=0.023,final,final_odds_research
2026-01-08,西武園,26,1,,20260108-26-01,????3??,1-4-2 / 3-1-2 / 1-5-2 / 3-2-1 / 2-5-1 / 1-3-2 / 1-2-5 / 1-2-6 / 2-1-5 / 2-1-6 / 1-6-2 / 2-6-1,12,2.8557738776473056,0.25014600691899996,1-4-2|3-1-2|1-5-2|3-2-1|2-5-1|1-3-2|1-2-5|1-2-6|2-1-5|2-1-6|1-6-2|2-6-1,False,6-1-3,0.0,12.0,0.0,-12.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|9|11|14|12,pred_roi=0.029,final,final_odds_research
2026-01-08,西武園,26,2,,20260108-26-02,????3??,1-5-2 / 1-3-5 / 1-2-4 / 1-5-3 / 1-4-2 / 2-1-3 / 1-3-4 / 1-4-3 / 1-4-5,9,1.992338555695849,0.287645263055,1-5-2|1-3-5|1-2-4|1-5-3|1-4-2|2-1-3|1-3-4|1-4-3|1-4-5,True,1-3-5,10.1,9.0,10.1,1.0999999999999996,0.9923385556958491,girls_selector_model: ranks 1|2|3|4|5|6|7|8|11,pred_roi=0.000,final,final_odds_research
2026-01-08,岐阜,43,5,,20260108-43-05,????3??,2-1-7 / 2-5-1 / 2-3-1 / 7-2-1 / 2-7-1 / 1-2-7 / 1-2-5 / 1-2-6 / 2-6-1 / 2-4-1 / 7-2-5,11,2.4584802523334246,0.220641801455,2-1-7|2-5-1|2-3-1|7-2-1|2-7-1|1-2-7|1-2-5|1-2-6|2-6-1|2-4-1|7-2-5,False,2-1-3,0.0,11.0,0.0,-11.0,-1.0,girls_selector_model: ranks 1|2|3|4|5|6|7|8|18|21|30,pred_roi=0.000,final,final_odds_research
2026-01-08,岐阜,43,6,,20260108-43-06,????3??,2-5-3 / 3-2-5 / 2-3-4 / 3-2-7 / 2-7-4 / 2-4-3 / 3-5-2 / 5-2-3 / 7-3-2 / 3-7-2 / 4-5-2 / 4-3-2,12,3.2479719928995068,0.21344587725999997,2-5-3|3-2-5|2-3-4|3-2-7|2-7-4|2-4-3|3-5-2|5-2-3|7-3-2|3-7-2|4-5-2|4-3-2,True,2-7-4,14.1,12.0,14.1,2.0999999999999996,2.2479719928995068,girls_selector_model: ranks 1|2|3|4|5|6|7|8|9|15|17|30,pred_roi=0.007,final,final_odds_research
