strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-13-07,2026-01-03,いわき平,7,6,7-1-4,1,93.1,0.00799036064,0.00799036064,,0.743902575584,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,1,4-3-6,1,65.6,0.011381011191,0.011381011191,,0.74659433413,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,2,4-3-7,1,46.8,0.015952870387,0.015952870387,,0.746594334112,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,3,3-6-4,1,21.6,0.034564552505,0.034564552505,,0.746594334108,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,4,3-2-4,1,11.9,0.062739019672,0.062739019672,,0.746594334097,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,5,3-7-6,1,19.5,0.038286888928,0.038286888928,,0.746594334096,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-06,2026-01-03,豊橋,6,6,7-4-3,1,200.7,0.003719951839,0.003719951839,,0.746594334087,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,1,3-5-7,1,24.4,0.030668159413,0.030668159413,,0.748303089677,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,2,5-1-7,1,26.3,0.028452588961,0.028452588961,,0.748303089674,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,3,5-7-2,1,16,0.046768943104,0.046768943104,,0.748303089664,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,4,5-3-1,1,20.1,0.037229009436,0.037229009436,,0.748303089664,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,5,3-7-5,1,41.2,0.018162696351,0.018162696351,,0.748303089661,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-45-07,2026-01-03,豊橋,7,6,5-7-1,1,15.1,0.049556496004,0.049556496004,,0.74830308966,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,1,7-2-4,1,31.9,0.023436027336,0.023436027336,,0.747609272018,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,2,4-7-2,1,13.7,0.054570019855,0.054570019855,,0.747609272013,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,3,3-7-4,1,16.1,0.04643535851,0.04643535851,,0.747609272011,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,4,7-4-2,1,15.4,0.048546056624,0.048546056624,,0.74760927201,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260103-73-06,2026-01-03,小松島,6,5,4-3-7,1,14.1,0.053021934185,0.053021934185,,0.747609272009,False,,0,-1,final,final_odds_research_only
